 

stn;time;tre200nn;qtre200nn;mtre200nn
INNSWZ;20190307;9.3;0;0
INNSWZ;20190308;3.2;0;0
INNSWZ;20190309;4.3;0;0
INNSWZ;20190310;6.3;0;0
INNSWZ;20190311;5.1;0;0
INNSWZ;20190312;0.5;0;0
INNSWZ;20190313;3.7;0;0
INNSWZ;20190314;3.5;0;0
INNSWZ;20190315;3.2;0;0
INNSWZ;20190316;4.7;0;0
INNSWZ;20190317;2.9;0;0
INNSWZ;20190318;1.0;0;0
INNSWZ;20190319;-0.4;0;0
INNSWZ;20190320;-1.2;0;0
INNSWZ;20190321;-0.9;0;0
INNSWZ;20190322;0.3;0;0
INNSWZ;20190323;2.4;0;0
INNSWZ;20190324;3.1;0;0
INNSWZ;20190325;6.7;0;0
INNSWZ;20190326;1.6;0;0
INNSWZ;20190327;-0.4;0;0
INNSWZ;20190328;0.4;0;0
INNSWZ;20190329;1.1;0;0
INNSWZ;20190330;2.4;0;0
INNSWZ;20190331;3.5;0;0
INNSWZ;20190401;4.0;0;0
INNSWZ;20190402;5.5;0;0
INNSWZ;20190403;7.8;0;0
INNSWZ;20190404;0.2;0;0
INNSWZ;20190405;0.4;0;0
INNSWZ;20190406;-0.2;0;0
INNSWZ;20190407;4.1;0;0
INNSWZ;20190408;5.7;0;0
INNSWZ;20190409;6.7;0;0
INNSWZ;20190410;6.9;0;0
INNSWZ;20190411;8.0;0;0
INNSWZ;20190412;4.8;0;0
INNSWZ;20190413;3.1;0;0
INNSWZ;20190414;0.7;0;0
INNSWZ;20190415;0.5;0;0
INNSWZ;20190416;3.2;0;0
INNSWZ;20190417;8.6;0;0
INNSWZ;20190418;6.3;0;0
INNSWZ;20190419;8.0;0;0
INNSWZ;20190420;7.4;0;0
INNSWZ;20190421;9.8;0;0
INNSWZ;20190422;12.1;0;0
INNSWZ;20190423;14.9;0;0
INNSWZ;20190424;13.0;0;0
INNSWZ;20190425;8.6;0;0
INNSWZ;20190426;5.6;0;0
INNSWZ;20190427;5.9;0;0
INNSWZ;20190428;3.3;0;0
INNSWZ;20190429;4.3;0;0
INNSWZ;20190430;6.0;0;0
INNSWZ;20190501;3.7;0;0
INNSWZ;20190502;7.2;0;0
INNSWZ;20190503;8.3;0;0
INNSWZ;20190504;6.1;0;0
INNSWZ;20190505;0.3;0;0
INNSWZ;20190506;1.5;0;0
INNSWZ;20190507;0.6;0;0
INNSWZ;20190508;8.1;0;0
INNSWZ;20190509;4.6;0;0
INNSWZ;20190510;8.8;0;0
INNSWZ;20190511;10.1;0;0
INNSWZ;20190512;5.4;0;0
INNSWZ;20190513;5.7;0;0
INNSWZ;20190514;2.8;0;0
INNSWZ;20190515;4.2;0;0
INNSWZ;20190516;2.9;0;0
INNSWZ;20190517;5.1;0;0
INNSWZ;20190518;11.1;0;0
INNSWZ;20190519;10.8;0;0
INNSWZ;20190520;10.0;0;0
INNSWZ;20190521;9.4;0;0
INNSWZ;20190522;10.0;0;0
INNSWZ;20190523;7.7;0;0
INNSWZ;20190524;9.6;0;0
INNSWZ;20190525;12.3;0;0
INNSWZ;20190526;11.7;0;0
INNSWZ;20190527;13.4;0;0
INNSWZ;20190528;12.1;0;0
INNSWZ;20190529;8.1;0;0
INNSWZ;20190530;5.9;0;0
INNSWZ;20190531;8.3;0;0
INNSWZ;20190601;11.2;0;0
INNSWZ;20190602;13.2;0;0
INNSWZ;20190603;15.6;0;0
INNSWZ;20190604;14.5;0;0
INNSWZ;20190605;16.5;0;0
INNSWZ;20190606;14.6;0;0
INNSWZ;20190607;9.7;0;0
INNSWZ;20190608;12.1;0;0
INNSWZ;20190609;11.4;0;0
INNSWZ;20190610;14.4;0;0
INNSWZ;20190611;9.4;0;0
INNSWZ;20190612;12.4;0;0
INNSWZ;20190613;13.0;0;0
INNSWZ;20190614;12.7;0;0
INNSWZ;20190615;17.8;0;0
INNSWZ;20190616;12.7;0;0
INNSWZ;20190617;11.9;0;0
INNSWZ;20190618;15.1;0;0
INNSWZ;20190619;14.0;0;0
INNSWZ;20190620;15.9;0;0
INNSWZ;20190621;13.4;0;0
INNSWZ;20190622;15.5;0;0
INNSWZ;20190623;14.9;0;0
INNSWZ;20190624;16.3;0;0
INNSWZ;20190625;17.4;0;0
INNSWZ;20190626;19.4;0;0
INNSWZ;20190627;20.6;0;0
INNSWZ;20190628;22.7;0;0
INNSWZ;20190629;17.8;0;0
INNSWZ;20190630;20.2;0;0
INNSWZ;20190701;23.6;0;0
INNSWZ;20190702;19.2;0;0
INNSWZ;20190703;17.6;0;0
INNSWZ;20190704;18.6;0;0
INNSWZ;20190705;17.5;0;0
INNSWZ;20190706;17.9;0;0
INNSWZ;20190707;17.4;0;0
INNSWZ;20190708;17.5;0;0
INNSWZ;20190709;15.5;0;0
INNSWZ;20190710;12.7;0;0
INNSWZ;20190711;13.6;0;0
INNSWZ;20190712;14.8;0;0
INNSWZ;20190713;15.0;0;0
INNSWZ;20190714;12.8;0;0
INNSWZ;20190715;14.2;0;0
INNSWZ;20190716;12.9;0;0
INNSWZ;20190717;14.6;0;0
INNSWZ;20190718;16.5;0;0
INNSWZ;20190719;17.5;0;0
INNSWZ;20190720;17.2;0;0
INNSWZ;20190721;19.2;0;0
INNSWZ;20190722;18.5;0;0
INNSWZ;20190723;19.1;0;0
INNSWZ;20190724;20.8;0;0
